STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150611,0,-9999,189,109
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150612,0,-9999,214,92
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150613,0,-9999,-9999,99
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150614,51,-9999,142,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150615,0,-9999,146,86
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150616,0,-9999,160,77
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150617,-9999,-9999,142,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150618,-9999,-9999,151,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150619,3,-9999,175,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150620,0,-9999,-9999,102
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150621,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150622,-9999,-9999,153,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150624,-9999,-9999,140,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150625,-9999,-9999,156,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150626,0,-9999,184,87
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150627,5,-9999,188,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150628,5,-9999,193,129
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150629,58,-9999,207,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150630,0,-9999,198,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150701,0,-9999,243,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150702,0,-9999,-9999,143
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150703,0,-9999,262,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150704,0,-9999,271,133
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150705,3,-9999,235,155
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150706,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150707,0,-9999,223,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150708,18,-9999,185,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150709,0,-9999,176,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150710,13,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150711,0,-9999,192,96
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150712,13,-9999,205,139
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150713,0,-9999,191,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150714,0,-9999,190,128
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150715,0,-9999,186,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150716,0,-9999,181,108
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150717,-9999,-9999,191,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150718,0,-9999,203,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150719,0,-9999,202,119
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150720,51,-9999,185,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150721,25,-9999,203,96
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150722,25,-9999,216,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150723,0,-9999,184,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150724,0,-9999,203,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150725,25,-9999,169,127
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150726,0,-9999,165,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150727,0,-9999,182,86
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150728,64,-9999,185,136
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150729,0,-9999,182,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150730,0,-9999,205,78
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150731,-9999,-9999,165,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150801,0,-9999,-9999,102
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150802,0,-9999,190,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150803,10,-9999,215,70
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150804,0,-9999,244,168
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150805,104,-9999,221,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150806,0,-9999,-9999,128
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150807,0,-9999,238,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150808,0,-9999,200,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150809,0,-9999,234,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150810,0,-9999,233,40
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150811,0,-9999,231,139
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150812,0,-9999,195,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150813,0,-9999,-9999,95
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150814,0,-9999,230,131
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150815,3,-9999,-9999,166
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150816,0,-9999,208,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150817,18,-9999,-9999,164
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150818,0,-9999,231,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150819,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150820,0,-9999,-9999,115
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150821,0,-9999,233,118
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150822,0,-9999,246,125
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150823,0,-9999,236,100
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150824,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150825,-9999,-9999,225,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150827,-9999,-9999,201,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150828,3,-9999,201,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150831,0,-9999,189,129
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150901,193,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150902,20,-9999,183,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150903,15,-9999,191,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150904,58,-9999,183,94
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150905,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150906,277,-9999,161,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150907,0,-9999,-9999,81
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150908,0,-9999,192,70
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150909,0,-9999,200,61
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150910,0,-9999,193,70
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150911,0,-9999,195,106
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150912,0,-9999,185,146
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150913,-9999,-9999,161,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150915,109,-9999,175,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150916,15,-9999,177,100
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150917,112,-9999,186,139
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150918,0,-9999,176,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150919,0,-9999,176,116
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150920,0,-9999,174,91
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150921,0,-9999,154,80
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150922,46,-9999,160,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150923,18,-9999,-9999,95
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150924,3,-9999,180,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150925,10,-9999,163,98
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150926,5,-9999,162,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150927,0,-9999,171,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150928,0,-9999,194,30
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150929,0,-9999,181,49
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150930,0,-9999,158,82
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151001,0,-9999,164,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151002,0,-9999,-9999,108
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151003,0,-9999,164,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151004,0,-9999,167,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151005,-9999,-9999,155,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151007,46,-9999,126,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151008,18,-9999,-9999,96
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151009,20,-9999,116,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151010,0,-9999,124,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151011,0,-9999,123,51
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151012,-9999,-9999,110,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151013,-9999,-9999,114,55
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151014,0,-9999,-9999,57
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151016,0,-9999,-9999,50
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151017,0,-9999,110,75
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151018,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151019,0,-9999,144,20
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151020,-9999,-9999,127,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151021,0,-9999,121,57
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151022,15,-9999,-9999,113
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151023,10,-9999,143,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151024,0,-9999,-9999,88
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151025,5,-9999,124,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151026,5,-9999,-9999,49
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151027,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151028,5,-9999,115,53
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151029,0,-9999,111,88
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151030,3,-9999,-9999,64
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151031,0,-9999,124,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151101,3,-9999,-9999,33
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151102,0,-9999,125,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151103,5,-9999,115,74
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151104,0,-9999,-9999,77
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151105,0,-9999,-9999,78
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151106,5,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151107,51,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151108,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151109,112,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151110,0,-9999,145,99
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151111,36,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151112,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151115,-9999,-9999,-9999,46
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151116,30,-9999,-9999,40
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151117,48,-9999,93,49
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151118,56,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151119,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151120,15,-9999,62,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151121,0,-9999,-9999,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151122,-9999,-9999,25,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151123,0,-9999,-9999,-58
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151124,13,-9999,72,30
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151125,38,-9999,72,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151126,0,-9999,-9999,-22
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20151127,0,-9999,102,31
